date,strategy,nav
2022-03-31,Bandit Meta-Strategy (UCB),3.7631145984866476
2022-04-01,Bandit Meta-Strategy (UCB),3.7796268295291835
2022-04-04,Bandit Meta-Strategy (UCB),3.80472630247104
2022-04-05,Bandit Meta-Strategy (UCB),3.7679305361704425
2022-04-06,Bandit Meta-Strategy (UCB),3.754703140133915
2022-04-07,Bandit Meta-Strategy (UCB),3.7840147246236233
2022-04-08,Bandit Meta-Strategy (UCB),3.7889966820550485
2022-04-11,Bandit Meta-Strategy (UCB),3.720158962401363
2022-04-12,Bandit Meta-Strategy (UCB),3.7124566813580593
2022-04-13,Bandit Meta-Strategy (UCB),3.7500101569887447
2022-04-14,Bandit Meta-Strategy (UCB),3.713484790967232
2022-04-18,Bandit Meta-Strategy (UCB),3.699000057216311
2022-04-19,Bandit Meta-Strategy (UCB),3.7406508005330963
2022-04-20,Bandit Meta-Strategy (UCB),3.6775904112206974
2022-04-21,Bandit Meta-Strategy (UCB),3.6369041145915633
2022-04-22,Bandit Meta-Strategy (UCB),3.558897189952793
2022-04-25,Bandit Meta-Strategy (UCB),3.580964666164149
2022-04-26,Bandit Meta-Strategy (UCB),3.4988751222592294
2022-04-27,Bandit Meta-Strategy (UCB),3.5121703972089255
2022-04-28,Bandit Meta-Strategy (UCB),3.5935611899547784
2022-04-29,Bandit Meta-Strategy (UCB),3.481462417617641
2022-05-02,Bandit Meta-Strategy (UCB),3.4933926659132783
2022-05-03,Bandit Meta-Strategy (UCB),3.508226754514616
2022-05-04,Bandit Meta-Strategy (UCB),3.5961267438154003
2022-05-05,Bandit Meta-Strategy (UCB),3.479876892981909
2022-05-06,Bandit Meta-Strategy (UCB),3.4709209874971334
2022-05-09,Bandit Meta-Strategy (UCB),3.384645305600916
2022-05-10,Bandit Meta-Strategy (UCB),3.3880014017138405
2022-05-11,Bandit Meta-Strategy (UCB),3.3486172410045896
2022-05-12,Bandit Meta-Strategy (UCB),3.3572966371052178
2022-05-13,Bandit Meta-Strategy (UCB),3.420666750507767
2022-05-16,Bandit Meta-Strategy (UCB),3.421502533037081
2022-05-17,Bandit Meta-Strategy (UCB),3.456378549904055
2022-05-18,Bandit Meta-Strategy (UCB),3.3135641185476707
2022-05-19,Bandit Meta-Strategy (UCB),3.2950287621384784
2022-05-20,Bandit Meta-Strategy (UCB),3.313395907180797
2022-05-23,Bandit Meta-Strategy (UCB),3.3844960450003825
2022-05-24,Bandit Meta-Strategy (UCB),3.373708156588672
2022-05-25,Bandit Meta-Strategy (UCB),3.4026091194602084
2022-05-26,Bandit Meta-Strategy (UCB),3.4565132272536387
2022-05-27,Bandit Meta-Strategy (UCB),3.5146023444117858
2022-05-31,Bandit Meta-Strategy (UCB),3.5126993642500612
2022-06-01,Bandit Meta-Strategy (UCB),3.4757946195719787
2022-06-02,Bandit Meta-Strategy (UCB),3.537428009479946
2022-06-03,Bandit Meta-Strategy (UCB),3.4859721020486636
2022-06-06,Bandit Meta-Strategy (UCB),3.4516416009439324
2022-06-07,Bandit Meta-Strategy (UCB),3.4900956394676594
2022-06-08,Bandit Meta-Strategy (UCB),3.480414971842998
2022-06-09,Bandit Meta-Strategy (UCB),3.3978942837706243
2022-06-10,Bandit Meta-Strategy (UCB),3.318008584175721
2022-06-13,Bandit Meta-Strategy (UCB),3.1951950458814475
2022-06-14,Bandit Meta-Strategy (UCB),3.1786608548339275
2022-06-15,Bandit Meta-Strategy (UCB),3.2209706335159884
2022-06-16,Bandit Meta-Strategy (UCB),3.146803035628777
2022-06-17,Bandit Meta-Strategy (UCB),3.114147429370714
2022-06-21,Bandit Meta-Strategy (UCB),3.2130047672968782
2022-06-22,Bandit Meta-Strategy (UCB),3.2149813257489877
2022-06-23,Bandit Meta-Strategy (UCB),3.246017112752351
2022-06-24,Bandit Meta-Strategy (UCB),3.3301643351973436
2022-06-27,Bandit Meta-Strategy (UCB),3.332978682385321
2022-06-28,Bandit Meta-Strategy (UCB),3.262709387915524
2022-06-29,Bandit Meta-Strategy (UCB),3.2470180424400232
2022-06-30,Bandit Meta-Strategy (UCB),3.2331218396700248
2022-07-01,Bandit Meta-Strategy (UCB),3.2646557000004854
2022-07-05,Bandit Meta-Strategy (UCB),3.264828089820077
2022-07-06,Bandit Meta-Strategy (UCB),3.2738666223720565
2022-07-07,Bandit Meta-Strategy (UCB),3.3262450340145
2022-07-08,Bandit Meta-Strategy (UCB),3.3251677117730187
2022-07-11,Bandit Meta-Strategy (UCB),3.2835249389414076
2022-07-12,Bandit Meta-Strategy (UCB),3.252605555986505
2022-07-13,Bandit Meta-Strategy (UCB),3.257194650162023
2022-07-14,Bandit Meta-Strategy (UCB),3.250985366942979
2022-07-15,Bandit Meta-Strategy (UCB),3.3057323044063853
2022-07-18,Bandit Meta-Strategy (UCB),3.2558678116856195
2022-07-19,Bandit Meta-Strategy (UCB),3.311796273921198
2022-07-20,Bandit Meta-Strategy (UCB),3.335504149769289
2022-07-21,Bandit Meta-Strategy (UCB),3.374732881550569
2022-07-22,Bandit Meta-Strategy (UCB),3.359714526121583
2022-07-25,Bandit Meta-Strategy (UCB),3.3724732221392593
2022-07-26,Bandit Meta-Strategy (UCB),3.3206871023665867
2022-07-27,Bandit Meta-Strategy (UCB),3.393947674223305
2022-07-28,Bandit Meta-Strategy (UCB),3.4149646959361566
2022-07-29,Bandit Meta-Strategy (UCB),3.4137667757568626
2022-08-01,Bandit Meta-Strategy (UCB),3.4099848155706933
2022-08-02,Bandit Meta-Strategy (UCB),3.384656189299805
2022-08-03,Bandit Meta-Strategy (UCB),3.4076993278594943
2022-08-04,Bandit Meta-Strategy (UCB),3.375560012241515
2022-08-05,Bandit Meta-Strategy (UCB),3.357734485366918
2022-08-08,Bandit Meta-Strategy (UCB),3.3665859288590516
2022-08-09,Bandit Meta-Strategy (UCB),3.3652626826356626
2022-08-10,Bandit Meta-Strategy (UCB),3.422714164690017
2022-08-11,Bandit Meta-Strategy (UCB),3.3980274943231863
2022-08-12,Bandit Meta-Strategy (UCB),3.456913301144032
2022-08-15,Bandit Meta-Strategy (UCB),3.4636391709929937
2022-08-16,Bandit Meta-Strategy (UCB),3.4880726826901336
2022-08-17,Bandit Meta-Strategy (UCB),3.466434185626429
2022-08-18,Bandit Meta-Strategy (UCB),3.4728899727157185
2022-08-19,Bandit Meta-Strategy (UCB),3.4482090469610593
2022-08-22,Bandit Meta-Strategy (UCB),3.390365824442198
2022-08-23,Bandit Meta-Strategy (UCB),3.390339433922928
2022-08-24,Bandit Meta-Strategy (UCB),3.3949361437994865
2022-08-25,Bandit Meta-Strategy (UCB),3.3029366317867814
2022-08-26,Bandit Meta-Strategy (UCB),3.2087224699739854
2022-08-29,Bandit Meta-Strategy (UCB),3.205334059503185
2022-08-30,Bandit Meta-Strategy (UCB),3.1649504957354093
2022-08-31,Bandit Meta-Strategy (UCB),3.1451943312498836
2022-09-01,Bandit Meta-Strategy (UCB),3.179006885982346
2022-09-02,Bandit Meta-Strategy (UCB),3.1468744237322155
2022-09-06,Bandit Meta-Strategy (UCB),3.1299818247897226
2022-09-07,Bandit Meta-Strategy (UCB),3.1747449175791647
2022-09-08,Bandit Meta-Strategy (UCB),3.195890345025783
2022-09-09,Bandit Meta-Strategy (UCB),3.2410264257932573
2022-09-12,Bandit Meta-Strategy (UCB),3.2613525571855244
2022-09-13,Bandit Meta-Strategy (UCB),3.1363023939258285
2022-09-14,Bandit Meta-Strategy (UCB),3.16473986699374
2022-09-15,Bandit Meta-Strategy (UCB),3.135622789578858
2022-09-16,Bandit Meta-Strategy (UCB),3.1316161848909965
2022-09-19,Bandit Meta-Strategy (UCB),3.137586893227089
2022-09-20,Bandit Meta-Strategy (UCB),3.108029519794698
2022-09-21,Bandit Meta-Strategy (UCB),3.0638472490179818
2022-09-22,Bandit Meta-Strategy (UCB),3.064225463442041
2022-09-23,Bandit Meta-Strategy (UCB),3.0014208581445843
2022-09-26,Bandit Meta-Strategy (UCB),2.9797657948286354
2022-09-27,Bandit Meta-Strategy (UCB),2.9737150572629796
2022-09-28,Bandit Meta-Strategy (UCB),3.0421036637600785
2022-09-29,Bandit Meta-Strategy (UCB),2.9996458285074366
2022-09-30,Bandit Meta-Strategy (UCB),2.9586027881485184
2022-10-03,Bandit Meta-Strategy (UCB),3.016475567615877
2022-10-04,Bandit Meta-Strategy (UCB),3.076747550127451
2022-10-05,Bandit Meta-Strategy (UCB),3.0773876668316764
2022-10-06,Bandit Meta-Strategy (UCB),3.0602395056545775
2022-10-07,Bandit Meta-Strategy (UCB),2.9905992137188364
2022-10-10,Bandit Meta-Strategy (UCB),2.972879029138448
2022-10-11,Bandit Meta-Strategy (UCB),2.962392772251668
2022-10-12,Bandit Meta-Strategy (UCB),2.9694373644488206
2022-10-13,Bandit Meta-Strategy (UCB),3.0350229137985
2022-10-14,Bandit Meta-Strategy (UCB),2.984082471126128
2022-10-17,Bandit Meta-Strategy (UCB),3.056037996860166
2022-10-18,Bandit Meta-Strategy (UCB),3.0786411845964126
2022-10-19,Bandit Meta-Strategy (UCB),3.093633125485068
2022-10-20,Bandit Meta-Strategy (UCB),3.0780526822939103
2022-10-21,Bandit Meta-Strategy (UCB),3.162443799337197
2022-10-24,Bandit Meta-Strategy (UCB),3.1931652939662056
2022-10-25,Bandit Meta-Strategy (UCB),3.2236035599800306
2022-10-26,Bandit Meta-Strategy (UCB),3.22319245671478
2022-10-27,Bandit Meta-Strategy (UCB),3.190251849407969
2022-10-28,Bandit Meta-Strategy (UCB),3.251700344580348
2022-10-31,Bandit Meta-Strategy (UCB),3.2230890096451668
2022-11-01,Bandit Meta-Strategy (UCB),3.2235756094267902
2022-11-02,Bandit Meta-Strategy (UCB),3.151533317408184
2022-11-03,Bandit Meta-Strategy (UCB),3.13341913923427
2022-11-04,Bandit Meta-Strategy (UCB),3.1616412518847357
2022-11-07,Bandit Meta-Strategy (UCB),3.1865847996044807
