date,strategy,drawdown
2025-06-18,2. Equal Weight,-0.012540637569501134
2025-06-20,2. Equal Weight,-0.012566032926226487
2025-06-23,2. Equal Weight,0.0
2025-06-24,2. Equal Weight,0.0
2025-06-25,2. Equal Weight,0.0
2025-06-26,2. Equal Weight,0.0
2025-06-27,2. Equal Weight,-2.8366240497493992e-05
2025-06-30,2. Equal Weight,0.0
2025-07-01,2. Equal Weight,-0.007900617198519054
2025-07-02,2. Equal Weight,0.0
2025-07-03,2. Equal Weight,-2.197001279905948e-05
2025-07-07,2. Equal Weight,-0.013457492659366944
2025-07-08,2. Equal Weight,-0.017542496527368848
2025-07-09,2. Equal Weight,-0.00873324982632818
2025-07-10,2. Equal Weight,-0.0016030791864947024
2025-07-11,2. Equal Weight,-0.0016185931999408815
2025-07-14,2. Equal Weight,0.0
2025-07-15,2. Equal Weight,-0.0008731271081509432
2025-07-16,2. Equal Weight,0.0
2025-07-17,2. Equal Weight,0.0
2025-07-18,2. Equal Weight,-1.9686787196591956e-05
2025-07-21,2. Equal Weight,0.0
2025-07-22,2. Equal Weight,-0.0001488133716124955
2025-07-23,2. Equal Weight,0.0
2025-07-24,2. Equal Weight,-0.0029236508247605726
2025-07-25,2. Equal Weight,-0.002940781334782844
2025-07-28,2. Equal Weight,0.0
2025-07-29,2. Equal Weight,-0.005433577294800615
2025-07-30,2. Equal Weight,-0.005225002309992538
2025-07-31,2. Equal Weight,-8.990395236584428e-05
2025-08-01,2. Equal Weight,-0.0001304239671312876
2025-08-04,2. Equal Weight,0.0
2025-08-05,2. Equal Weight,-0.006290322747961182
2025-08-06,2. Equal Weight,0.0
2025-08-07,2. Equal Weight,0.0
2025-08-08,2. Equal Weight,-3.69251405180692e-05
2025-08-11,2. Equal Weight,0.0
2025-08-12,2. Equal Weight,0.0
2025-08-13,2. Equal Weight,-7.501240614726052e-05
2025-08-14,2. Equal Weight,0.0
2025-08-15,2. Equal Weight,-1.2351573665866942e-05
2025-08-18,2. Equal Weight,-0.0012852703697875854
2025-08-19,2. Equal Weight,-0.012119347643898113
2025-08-20,2. Equal Weight,-0.018470181886697794
2025-08-21,2. Equal Weight,-0.022589050841414503
2025-08-22,2. Equal Weight,-0.02261653119129211
2025-08-25,2. Equal Weight,-0.021254125130885412
2025-08-26,2. Equal Weight,-0.01761012502435825
2025-08-27,2. Equal Weight,-0.017254266805398155
2025-08-28,2. Equal Weight,-0.014394561380391658
2025-08-29,2. Equal Weight,-0.014412983528466226
2025-09-02,2. Equal Weight,-0.02232393841025212
2025-09-03,2. Equal Weight,-0.007652146623813392
2025-09-04,2. Equal Weight,0.0
2025-09-05,2. Equal Weight,-3.5923802814662725e-05
2025-09-08,2. Equal Weight,-0.0004909735952683735
2025-09-09,2. Equal Weight,0.0
2025-09-10,2. Equal Weight,-0.005431850623315494
2025-09-11,2. Equal Weight,0.0
2025-09-12,2. Equal Weight,-3.701041603369069e-05
2025-09-15,2. Equal Weight,0.0
2025-09-16,2. Equal Weight,0.0
2025-09-17,2. Equal Weight,-6.751962140048985e-05
2025-09-18,2. Equal Weight,-0.0018700258888250578
2025-09-19,2. Equal Weight,-0.0018940008628116928
2025-09-22,2. Equal Weight,0.0
2025-09-23,2. Equal Weight,-0.011328183397631053
2025-09-24,2. Equal Weight,-0.009912659602137388
2025-09-25,2. Equal Weight,-0.016204502711594952
2025-09-26,2. Equal Weight,-0.016232863843687807
2025-09-29,2. Equal Weight,-0.011603186594700875
2025-09-30,2. Equal Weight,-0.008313978172002759
2025-10-01,2. Equal Weight,-0.004307187013607901
2025-10-02,2. Equal Weight,-0.007927260594368246
2025-10-03,2. Equal Weight,-0.007954842191386034
2025-10-06,2. Equal Weight,0.0
2025-10-07,2. Equal Weight,-0.006926743525017204
2025-10-08,2. Equal Weight,-0.002003983677841439
