date,strategy,asset,weight
2015-12-03,Bandit Meta-Strategy (UCB),CASH,-0.0011060331949189512
2015-12-03,Bandit Meta-Strategy (UCB),DIS,0.049574198298101
2015-12-03,Bandit Meta-Strategy (UCB),GOOGL,0.050626818112505044
2015-12-03,Bandit Meta-Strategy (UCB),HD,0.049166460538181515
2015-12-03,Bandit Meta-Strategy (UCB),JNJ,0.05005077301276943
2015-12-03,Bandit Meta-Strategy (UCB),JPM,0.04961074891317212
2015-12-03,Bandit Meta-Strategy (UCB),KO,0.050085501318479025
2015-12-03,Bandit Meta-Strategy (UCB),MA,0.049267929935579394
2015-12-03,Bandit Meta-Strategy (UCB),META,0.05034175717123079
2015-12-03,Bandit Meta-Strategy (UCB),MSFT,0.05013548479100708
2015-12-03,Bandit Meta-Strategy (UCB),NFLX,0.05169282318969513
2015-12-03,Bandit Meta-Strategy (UCB),NVDA,0.05139954217474148
2015-12-03,Bandit Meta-Strategy (UCB),PFE,0.04969141091733614
2015-12-03,Bandit Meta-Strategy (UCB),PG,0.05087881673823026
2015-12-03,Bandit Meta-Strategy (UCB),TSLA,0.050809117906179195
2015-12-03,Bandit Meta-Strategy (UCB),V,0.049816098554961226
2015-12-03,Bandit Meta-Strategy (UCB),WMT,0.05044520642070097
2015-12-03,Bandit Meta-Strategy (UCB),XOM,0.04827336339901307
2015-12-04,Bandit Meta-Strategy (EXP3),AAPL,0.049514892424515136
2015-12-04,Bandit Meta-Strategy (EXP3),AMZN,0.04979157111064108
2015-12-04,Bandit Meta-Strategy (EXP3),BAC,0.05025586657861436
2015-12-04,Bandit Meta-Strategy (EXP3),CASH,-0.001082646887541318
2015-12-04,Bandit Meta-Strategy (EXP3),DIS,0.04954516629654621
2015-12-04,Bandit Meta-Strategy (EXP3),GOOGL,0.05026660725066641
2015-12-04,Bandit Meta-Strategy (EXP3),HD,0.04945014727603197
2015-12-04,Bandit Meta-Strategy (EXP3),JNJ,0.05004242711844883
2015-12-04,Bandit Meta-Strategy (EXP3),JPM,0.05010422724217434
2015-12-04,Bandit Meta-Strategy (EXP3),KO,0.04998483827659193
2015-12-04,Bandit Meta-Strategy (EXP3),MA,0.04960322331788849
2015-12-04,Bandit Meta-Strategy (EXP3),META,0.05012708719351198
2015-12-04,Bandit Meta-Strategy (EXP3),MSFT,0.05062372458178062
2015-12-04,Bandit Meta-Strategy (EXP3),NFLX,0.05224377943351717
2015-12-04,Bandit Meta-Strategy (EXP3),NVDA,0.05236061626521765
2015-12-04,Bandit Meta-Strategy (EXP3),PFE,0.04925627363075322
2015-12-04,Bandit Meta-Strategy (EXP3),PG,0.05117730385874154
2015-12-04,Bandit Meta-Strategy (EXP3),TSLA,0.049236868600749946
2015-12-04,Bandit Meta-Strategy (EXP3),V,0.05007698091054181
2015-12-04,Bandit Meta-Strategy (EXP3),WMT,0.04989720300757864
2015-12-04,Bandit Meta-Strategy (EXP3),XOM,0.047523842513029824
2015-12-04,Bandit Meta-Strategy (Thompson Sampling),AAPL,0.049514892424515136
2015-12-04,Bandit Meta-Strategy (Thompson Sampling),AMZN,0.04979157111064108
2015-12-04,Bandit Meta-Strategy (Thompson Sampling),BAC,0.05025586657861436
2015-12-04,Bandit Meta-Strategy (Thompson Sampling),CASH,-0.001082646887541318
2015-12-04,Bandit Meta-Strategy (Thompson Sampling),DIS,0.04954516629654621
2015-12-04,Bandit Meta-Strategy (Thompson Sampling),GOOGL,0.05026660725066641
2015-12-04,Bandit Meta-Strategy (Thompson Sampling),HD,0.04945014727603197
2015-12-04,Bandit Meta-Strategy (Thompson Sampling),JNJ,0.05004242711844883
2015-12-04,Bandit Meta-Strategy (Thompson Sampling),JPM,0.05010422724217434
2015-12-04,Bandit Meta-Strategy (Thompson Sampling),KO,0.04998483827659193
2015-12-04,Bandit Meta-Strategy (Thompson Sampling),MA,0.04960322331788849
2015-12-04,Bandit Meta-Strategy (Thompson Sampling),META,0.05012708719351198
2015-12-04,Bandit Meta-Strategy (Thompson Sampling),MSFT,0.05062372458178062
2015-12-04,Bandit Meta-Strategy (Thompson Sampling),NFLX,0.05224377943351717
2015-12-04,Bandit Meta-Strategy (Thompson Sampling),NVDA,0.05236061626521765
2015-12-04,Bandit Meta-Strategy (Thompson Sampling),PFE,0.04925627363075322
2015-12-04,Bandit Meta-Strategy (Thompson Sampling),PG,0.05117730385874154
2015-12-04,Bandit Meta-Strategy (Thompson Sampling),TSLA,0.049236868600749946
2015-12-04,Bandit Meta-Strategy (Thompson Sampling),V,0.05007698091054181
2015-12-04,Bandit Meta-Strategy (Thompson Sampling),WMT,0.04989720300757864
2015-12-04,Bandit Meta-Strategy (Thompson Sampling),XOM,0.047523842513029824
2015-12-04,Bandit Meta-Strategy (UCB),AAPL,0.049514892424515136
2015-12-04,Bandit Meta-Strategy (UCB),AMZN,0.04979157111064108
2015-12-04,Bandit Meta-Strategy (UCB),BAC,0.05025586657861436
2015-12-04,Bandit Meta-Strategy (UCB),CASH,-0.001082646887541318
2015-12-04,Bandit Meta-Strategy (UCB),DIS,0.04954516629654621
2015-12-04,Bandit Meta-Strategy (UCB),GOOGL,0.05026660725066641
2015-12-04,Bandit Meta-Strategy (UCB),HD,0.04945014727603197
2015-12-04,Bandit Meta-Strategy (UCB),JNJ,0.05004242711844883
2015-12-04,Bandit Meta-Strategy (UCB),JPM,0.05010422724217434
2015-12-04,Bandit Meta-Strategy (UCB),KO,0.04998483827659193
2015-12-04,Bandit Meta-Strategy (UCB),MA,0.04960322331788849
2015-12-04,Bandit Meta-Strategy (UCB),META,0.05012708719351198
2015-12-04,Bandit Meta-Strategy (UCB),MSFT,0.05062372458178062
2015-12-04,Bandit Meta-Strategy (UCB),NFLX,0.05224377943351717
2015-12-04,Bandit Meta-Strategy (UCB),NVDA,0.05236061626521765
2015-12-04,Bandit Meta-Strategy (UCB),PFE,0.04925627363075322
2015-12-04,Bandit Meta-Strategy (UCB),PG,0.05117730385874154
2015-12-04,Bandit Meta-Strategy (UCB),TSLA,0.049236868600749946
2015-12-04,Bandit Meta-Strategy (UCB),V,0.05007698091054181
2015-12-04,Bandit Meta-Strategy (UCB),WMT,0.04989720300757864
2015-12-04,Bandit Meta-Strategy (UCB),XOM,0.047523842513029824
2015-12-07,Bandit Meta-Strategy (EXP3),AAPL,0.04957047366956935
2015-12-07,Bandit Meta-Strategy (EXP3),AMZN,0.0499539783645785
2015-12-07,Bandit Meta-Strategy (EXP3),BAC,0.049891745636505315
2015-12-07,Bandit Meta-Strategy (EXP3),CASH,-0.0010907348222220254
2015-12-07,Bandit Meta-Strategy (EXP3),DIS,0.04973615165143096
2015-12-07,Bandit Meta-Strategy (EXP3),GOOGL,0.050237877058094696
2015-12-07,Bandit Meta-Strategy (EXP3),HD,0.049597371710146096
2015-12-07,Bandit Meta-Strategy (EXP3),JNJ,0.05059746499406437
2015-12-07,Bandit Meta-Strategy (EXP3),JPM,0.049816786476029135
2015-12-07,Bandit Meta-Strategy (EXP3),KO,0.05025355607695011
2015-12-07,Bandit Meta-Strategy (EXP3),MA,0.049528223554366514
2015-12-07,Bandit Meta-Strategy (EXP3),META,0.05023045793573751
2015-12-07,Bandit Meta-Strategy (EXP3),MSFT,0.05091068865786673
2015-12-07,Bandit Meta-Strategy (EXP3),NFLX,0.05039491877437221
2015-12-07,Bandit Meta-Strategy (EXP3),NVDA,0.0517514472712531
2015-12-07,Bandit Meta-Strategy (EXP3),PFE,0.04941243278743217
2015-12-07,Bandit Meta-Strategy (EXP3),PG,0.051917355824267604
2015-12-07,Bandit Meta-Strategy (EXP3),TSLA,0.04976618128761428
2015-12-07,Bandit Meta-Strategy (EXP3),V,0.049917706106109766
2015-12-07,Bandit Meta-Strategy (EXP3),WMT,0.05097775011507711
2015-12-07,Bandit Meta-Strategy (EXP3),XOM,0.04662816687075654
2015-12-07,Bandit Meta-Strategy (Thompson Sampling),AAPL,0.04957047366956935
2015-12-07,Bandit Meta-Strategy (Thompson Sampling),AMZN,0.0499539783645785
2015-12-07,Bandit Meta-Strategy (Thompson Sampling),BAC,0.049891745636505315
2015-12-07,Bandit Meta-Strategy (Thompson Sampling),CASH,-0.0010907348222220254
2015-12-07,Bandit Meta-Strategy (Thompson Sampling),DIS,0.04973615165143096
2015-12-07,Bandit Meta-Strategy (Thompson Sampling),GOOGL,0.050237877058094696
2015-12-07,Bandit Meta-Strategy (Thompson Sampling),HD,0.049597371710146096
2015-12-07,Bandit Meta-Strategy (Thompson Sampling),JNJ,0.05059746499406437
2015-12-07,Bandit Meta-Strategy (Thompson Sampling),JPM,0.049816786476029135
2015-12-07,Bandit Meta-Strategy (Thompson Sampling),KO,0.05025355607695011
2015-12-07,Bandit Meta-Strategy (Thompson Sampling),MA,0.049528223554366514
2015-12-07,Bandit Meta-Strategy (Thompson Sampling),META,0.05023045793573751
2015-12-07,Bandit Meta-Strategy (Thompson Sampling),MSFT,0.05091068865786673
2015-12-07,Bandit Meta-Strategy (Thompson Sampling),NFLX,0.05039491877437221
2015-12-07,Bandit Meta-Strategy (Thompson Sampling),NVDA,0.0517514472712531
2015-12-07,Bandit Meta-Strategy (Thompson Sampling),PFE,0.04941243278743217
2015-12-07,Bandit Meta-Strategy (Thompson Sampling),PG,0.051917355824267604
2015-12-07,Bandit Meta-Strategy (Thompson Sampling),TSLA,0.04976618128761428
2015-12-07,Bandit Meta-Strategy (Thompson Sampling),V,0.049917706106109766
